case_id,instr,actual_rd,actual_vxsat,status,note
C0000001,PSADD.B,,,ILLEGAL_INSN,
C0000002,PSADD.B,,,ILLEGAL_INSN,
C0000003,PSADD.B,,,ILLEGAL_INSN,
C0000004,PSADD.B,,,ILLEGAL_INSN,
C0000005,PSADD.B,,,ILLEGAL_INSN,
C0000006,PSADD.B,,,ILLEGAL_INSN,
C0000007,PSADD.B,,,ILLEGAL_INSN,
C0000008,PSSUB.B,,,ILLEGAL_INSN,
C0000009,PSSUB.B,,,ILLEGAL_INSN,
C0000010,PSSUB.B,,,ILLEGAL_INSN,
C0000011,PSSUB.B,,,ILLEGAL_INSN,
C0000012,PSSUB.B,,,ILLEGAL_INSN,
C0000013,PSSUB.B,,,ILLEGAL_INSN,
C0000014,PSSUB.B,,,ILLEGAL_INSN,
C0000015,PSSHAR.HS,,,ILLEGAL_INSN,
C0000016,PSSHAR.HS,,,ILLEGAL_INSN,
C0000017,PSSHAR.HS,,,ILLEGAL_INSN,
C0000018,PSSHAR.HS,,,ILLEGAL_INSN,
C0000019,PSSHAR.HS,,,ILLEGAL_INSN,
C0000020,PSSHAR.HS,,,ILLEGAL_INSN,
