case_id,instr,actual_rd,actual_vxsat,status,note
S0001,PSSHAR.HS,0xffffffff,0,OK,
S0002,PSSHAR.HS,0xffffffff,0,OK,
S0003,PSSHAR.HS,0xffffffff,0,OK,
S0004,PSSHAR.HS,0xffffffff,0,OK,
S0005,PSSHAR.HS,0xffffffff,0,OK,
S0006,PSSHAR.HS,0xffffffff,0,OK,
S0007,PSSHAR.HS,0xffffffff,0,OK,
S0008,PSSHAR.HS,0xffffffff,0,OK,
S0009,PSSHAR.HS,0xffffffff,0,OK,
S0010,PSSHAR.HS,0xffffffff,0,OK,
S0011,PSSHAR.HS,0xffffffff,0,OK,
S0012,PSSHAR.HS,0xffffffff,0,OK,
S0013,PSSHAR.HS,0xffffffff,0,OK,
S0014,PSSHAR.HS,0xffffffff,0,OK,
S0015,PSSHAR.HS,0xffffffff,0,OK,
S0016,PSSHAR.HS,0xffffffff,0,OK,
S0017,PSSHAR.HS,0xffffffff,0,OK,
S0018,PSSHAR.HS,0xffffffff,0,OK,
S0019,PSSHAR.HS,0xfffefffe,0,OK,
S0020,PSSHAR.HS,0xfffcfffc,0,OK,
S0021,PSSHAR.HS,0xfff8fff8,0,OK,
S0022,PSSHAR.HS,0xfff0fff0,0,OK,
S0023,PSSHAR.HS,0xffe0ffe0,0,OK,
S0024,PSSHAR.HS,0xffc0ffc0,0,OK,
S0025,PSSHAR.HS,0xff80ff80,0,OK,
S0026,PSSHAR.HS,0xff00ff00,0,OK,
S0027,PSSHAR.HS,0xfe00fe00,0,OK,
S0028,PSSHAR.HS,0xfc00fc00,0,OK,
S0029,PSSHAR.HS,0xf800f800,0,OK,
S0030,PSSHAR.HS,0xf000f000,0,OK,
S0031,PSSHAR.HS,0xe000e000,0,OK,
S0032,PSSHAR.HS,0xc000c000,0,OK,
