case_id,instr,rs1,rs2,rd_in,rs1_hex,rs2_hex,rd_in_hex
C0000001,PSADD.B,2155905152,16843009,0,0x80808080,0x01010101,0x00000000
C0000002,PSADD.B,2139062143,16843009,0,0x7f7f7f7f,0x01010101,0x00000000
C0000003,PSADD.B,4294967295,16843009,0,0xffffffff,0x01010101,0x00000000
C0000004,PSADD.B,2122219134,33686018,0,0x7e7e7e7e,0x02020202,0x00000000
C0000005,PSADD.B,0,0,0,0x00000000,0x00000000,0x00000000
C0000006,PSADD.B,2139062143,2139062143,0,0x7f7f7f7f,0x7f7f7f7f,0x00000000
C0000007,PSADD.B,2155905152,2155905152,0,0x80808080,0x80808080,0x00000000
C0000008,PSSUB.B,2155905152,16843009,0,0x80808080,0x01010101,0x00000000
C0000009,PSSUB.B,2139062143,16843009,0,0x7f7f7f7f,0x01010101,0x00000000
C0000010,PSSUB.B,4294967295,16843009,0,0xffffffff,0x01010101,0x00000000
C0000011,PSSUB.B,2122219134,33686018,0,0x7e7e7e7e,0x02020202,0x00000000
C0000012,PSSUB.B,0,0,0,0x00000000,0x00000000,0x00000000
C0000013,PSSUB.B,2139062143,2139062143,0,0x7f7f7f7f,0x7f7f7f7f,0x00000000
C0000014,PSSUB.B,2155905152,2155905152,0,0x80808080,0x80808080,0x00000000
C0000015,PSSHAR.HS,2147516416,239,0,0x80008000,0x000000ef,0x00000000
C0000016,PSSHAR.HS,2147516416,240,0,0x80008000,0x000000f0,0x00000000
C0000017,PSSHAR.HS,2147516416,241,0,0x80008000,0x000000f1,0x00000000
C0000018,PSSHAR.HS,2147516416,255,0,0x80008000,0x000000ff,0x00000000
C0000019,PSSHAR.HS,2147516416,0,0,0x80008000,0x00000000,0x00000000
C0000020,PSSHAR.HS,2147516416,1,0,0x80008000,0x00000001,0x00000000
