case_id,instr,rs1,rs2,rd_in,expected_rd,expected_vxsat,actual_rd,actual_vxsat,pass,attribution
C0000001,PSADD.B,0x80808080,0x01010101,0x00000000,0x81818181,0,0x81818181,0,1,
C0000002,PSADD.B,0x7f7f7f7f,0x01010101,0x00000000,0x7f7f7f7f,1,0x7f7f7f7f,1,1,
C0000003,PSADD.B,0xffffffff,0x01010101,0x00000000,0x00000000,0,0x00000000,0,1,
C0000004,PSADD.B,0x7e7e7e7e,0x02020202,0x00000000,0x7f7f7f7f,1,0x7f7f7f7f,1,1,
C0000005,PSADD.B,0x00000000,0x00000000,0x00000000,0x00000000,0,0x00000000,0,1,
C0000006,PSADD.B,0x7f7f7f7f,0x7f7f7f7f,0x00000000,0x7f7f7f7f,1,0x7f7f7f7f,1,1,
C0000007,PSADD.B,0x80808080,0x80808080,0x00000000,0x80808080,1,0x80808080,1,1,
C0000008,PSSUB.B,0x80808080,0x01010101,0x00000000,0x80808080,1,0x80808080,1,1,
C0000009,PSSUB.B,0x7f7f7f7f,0x01010101,0x00000000,0x7e7e7e7e,0,0x7e7e7e7e,0,1,
C0000010,PSSUB.B,0xffffffff,0x01010101,0x00000000,0xfefefefe,0,0xfefefefe,0,1,
C0000011,PSSUB.B,0x7e7e7e7e,0x02020202,0x00000000,0x7c7c7c7c,0,0x7c7c7c7c,0,1,
C0000012,PSSUB.B,0x00000000,0x00000000,0x00000000,0x00000000,0,0x00000000,0,1,
C0000013,PSSUB.B,0x7f7f7f7f,0x7f7f7f7f,0x00000000,0x00000000,0,0x00000000,0,1,
C0000014,PSSUB.B,0x80808080,0x80808080,0x00000000,0x00000000,0,0x00000000,0,1,
C0000015,PSSHAR.HS,0x80008000,0x000000ef,0x00000000,0x00000000,0,0xffffffff,0,0,IMPLEMENTATION_BUG
C0000016,PSSHAR.HS,0x80008000,0x000000f0,0x00000000,0xffffffff,0,0xffffffff,0,1,
C0000017,PSSHAR.HS,0x80008000,0x000000f1,0x00000000,0xffffffff,0,0xffffffff,0,1,
C0000018,PSSHAR.HS,0x80008000,0x000000ff,0x00000000,0xc000c000,0,0xc000c000,0,1,
C0000019,PSSHAR.HS,0x80008000,0x00000000,0x00000000,0x80008000,0,0x80008000,0,1,
C0000020,PSSHAR.HS,0x80008000,0x00000001,0x00000000,0x80008000,1,0x80008000,1,1,
