case_id,instr,rs1,rs2,rd_in,expected_rd,expected_vxsat,actual_rd,actual_vxsat,pass,attribution
S0001,PSSHAR.HS,0x80008000,0x000000e0,0x00000000,0x00000000,0,0xffffffff,0,0,IMPLEMENTATION_BUG
S0002,PSSHAR.HS,0x80008000,0x000000e1,0x00000000,0x00000000,0,0xffffffff,0,0,IMPLEMENTATION_BUG
S0003,PSSHAR.HS,0x80008000,0x000000e2,0x00000000,0x00000000,0,0xffffffff,0,0,IMPLEMENTATION_BUG
S0004,PSSHAR.HS,0x80008000,0x000000e3,0x00000000,0x00000000,0,0xffffffff,0,0,IMPLEMENTATION_BUG
S0005,PSSHAR.HS,0x80008000,0x000000e4,0x00000000,0x00000000,0,0xffffffff,0,0,IMPLEMENTATION_BUG
S0006,PSSHAR.HS,0x80008000,0x000000e5,0x00000000,0x00000000,0,0xffffffff,0,0,IMPLEMENTATION_BUG
S0007,PSSHAR.HS,0x80008000,0x000000e6,0x00000000,0x00000000,0,0xffffffff,0,0,IMPLEMENTATION_BUG
S0008,PSSHAR.HS,0x80008000,0x000000e7,0x00000000,0x00000000,0,0xffffffff,0,0,IMPLEMENTATION_BUG
S0009,PSSHAR.HS,0x80008000,0x000000e8,0x00000000,0x00000000,0,0xffffffff,0,0,IMPLEMENTATION_BUG
S0010,PSSHAR.HS,0x80008000,0x000000e9,0x00000000,0x00000000,0,0xffffffff,0,0,IMPLEMENTATION_BUG
S0011,PSSHAR.HS,0x80008000,0x000000ea,0x00000000,0x00000000,0,0xffffffff,0,0,IMPLEMENTATION_BUG
S0012,PSSHAR.HS,0x80008000,0x000000eb,0x00000000,0x00000000,0,0xffffffff,0,0,IMPLEMENTATION_BUG
S0013,PSSHAR.HS,0x80008000,0x000000ec,0x00000000,0x00000000,0,0xffffffff,0,0,IMPLEMENTATION_BUG
S0014,PSSHAR.HS,0x80008000,0x000000ed,0x00000000,0x00000000,0,0xffffffff,0,0,IMPLEMENTATION_BUG
S0015,PSSHAR.HS,0x80008000,0x000000ee,0x00000000,0x00000000,0,0xffffffff,0,0,IMPLEMENTATION_BUG
S0016,PSSHAR.HS,0x80008000,0x000000ef,0x00000000,0x00000000,0,0xffffffff,0,0,IMPLEMENTATION_BUG
S0017,PSSHAR.HS,0x80008000,0x000000f0,0x00000000,0xffffffff,0,0xffffffff,0,1,
S0018,PSSHAR.HS,0x80008000,0x000000f1,0x00000000,0xffffffff,0,0xffffffff,0,1,
S0019,PSSHAR.HS,0x80008000,0x000000f2,0x00000000,0xfffefffe,0,0xfffefffe,0,1,
S0020,PSSHAR.HS,0x80008000,0x000000f3,0x00000000,0xfffcfffc,0,0xfffcfffc,0,1,
S0021,PSSHAR.HS,0x80008000,0x000000f4,0x00000000,0xfff8fff8,0,0xfff8fff8,0,1,
S0022,PSSHAR.HS,0x80008000,0x000000f5,0x00000000,0xfff0fff0,0,0xfff0fff0,0,1,
S0023,PSSHAR.HS,0x80008000,0x000000f6,0x00000000,0xffe0ffe0,0,0xffe0ffe0,0,1,
S0024,PSSHAR.HS,0x80008000,0x000000f7,0x00000000,0xffc0ffc0,0,0xffc0ffc0,0,1,
S0025,PSSHAR.HS,0x80008000,0x000000f8,0x00000000,0xff80ff80,0,0xff80ff80,0,1,
S0026,PSSHAR.HS,0x80008000,0x000000f9,0x00000000,0xff00ff00,0,0xff00ff00,0,1,
S0027,PSSHAR.HS,0x80008000,0x000000fa,0x00000000,0xfe00fe00,0,0xfe00fe00,0,1,
S0028,PSSHAR.HS,0x80008000,0x000000fb,0x00000000,0xfc00fc00,0,0xfc00fc00,0,1,
S0029,PSSHAR.HS,0x80008000,0x000000fc,0x00000000,0xf800f800,0,0xf800f800,0,1,
S0030,PSSHAR.HS,0x80008000,0x000000fd,0x00000000,0xf000f000,0,0xf000f000,0,1,
S0031,PSSHAR.HS,0x80008000,0x000000fe,0x00000000,0xe000e000,0,0xe000e000,0,1,
S0032,PSSHAR.HS,0x80008000,0x000000ff,0x00000000,0xc000c000,0,0xc000c000,0,1,
